0,০
1,১
2,২
3,৩
4,৪
5,৫
6,৬
7,৭
8,৮
9,৯
A,অ
&,ৎ
@,ঁ
B,য়
\,ৱ
|,ৰ
C,ছ
^,ঃ
D,ড
$,৳
E,ৈ
F,র্
G,ঘ
~,‌
H,হ
I,ী
J,ঝ
K,খ
L,।
M,ঞ
N,ণ
O,ৌ
P,্র
Q,ঙ
R,ৃ
S,শ
T,ট
~,\u200D
U,ূ
V,্য
W,ঠ
X,ঢ়
Y,থ
Z,ড়
a,া
b,ব
c,চ
d,দ
e,ে
f,ফ
g,গ
h,্
i,ি
j,জ
k,ক
l,ল
m,ম
n,ন
o,ো
p,প
q,ং
r,র
s,স
t,ত
u,ু
v,ভ
w,ঢ
x,ষ
y,ধ
z,য
